,date,datetime,dateweek,player_id,current_club_id,market_value_in_eur,player_club_domestic_competition_id,name,club_id,club_name,stadium_seats,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
10223,2022-08-05,2022-08-05,2022-08-01,41414,398,1000000,IT1,Lucas Leiva,398,Lazio Rom,73261,1498,Lucas Leiva,BRA,MF,Lazio,Serie A,35.0,1987,35,19,1697,18.9,0.0,0.16,0.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0,60.6,65.8,92.2,1037.4,297.0,28.2,29.5,95.5,26.2,28.4,92.5,5.34,6.24,85.6,0.0,0.32,5.29,0.16,0.05,3.49,65.8,63.7,2.12,2.06,0.0,7.99,0.63,0.16,0.05,0.0,0.05,0.0,54.5,5.56,5.71,8.78,52.4,3.17,0.0,0.16,60.6,0.16,0.74,0.63,0.69,1.11,0.85,0.05,0.0,0.0,0.05,0.16,0.21,0.16,0.0,0.0,0.0,0.0,0.05,3.12,1.85,1.48,1.32,0.32,0.9,2.75,32.7,1.85,19.4,5.24,27.0,7.3,10.1,2.01,1.85,0.58,0.0,1.27,1.69,4.81,1.75,0.0,74.6,4.18,20.4,48.9,7.41,0.0,72.8,0.16,0.26,60.0,0.16,0.0,43.9,123.5,53.0,1.59,0.32,0.0,0.32,0.32,55.0,52.4,95.4,0.26,0.48,0.0,0.0,2.28,1.01,0.0,0.16,1.85,0.0,0.0,0.0,10.2,1.53,1.06,59.2
3787,2022-08-05,2022-08-05,2022-08-01,661284,55686,300000,UKR1,Fabinho,55686,Metalist 1925 Kharkiv,70050,844,Fabinho,BRA,MF,Liverpool,Premier League,28.0,1993,29,26,2314,25.7,0.19,0.74,0.27,36.8,0.16,0.43,18.8,0.04,0.08,0.08,52.2,59.2,88.1,954.9,215.5,21.5,23.8,90.3,24.5,26.7,91.8,5.33,7.0,76.1,0.04,0.58,5.64,0.62,0.04,4.16,59.2,57.9,1.28,1.25,0.04,8.91,0.7,0.23,0.0,0.0,0.0,0.0,44.3,6.38,8.52,4.47,50.2,2.96,0.04,0.23,52.2,0.08,0.62,0.93,0.82,1.52,1.21,0.0,0.0,0.12,0.16,0.04,0.19,0.12,0.0,0.0,0.08,0.0,0.0,2.22,1.44,0.66,1.28,0.27,0.74,2.41,30.6,1.67,16.1,5.1,31.7,4.9,8.75,2.41,1.98,0.39,0.0,1.6,2.18,4.4,1.17,0.0,69.5,1.91,14.7,45.0,12.9,0.82,68.1,0.31,0.43,72.7,0.31,0.0,44.0,175.1,83.8,4.12,0.89,0.12,0.93,0.62,48.9,47.0,96.2,1.4,0.27,0.0,0.0,1.91,1.52,0.0,0.23,1.44,0.0,0.0,0.0,12.1,1.75,1.09,61.6
11708,2022-07-29,2022-07-29,2022-07-25,663225,29,450000,GB1,Tyler Onyango,29,Fc Everton,39571,1997,Tyler Onyango,ENG,MFFW,Everton,Premier League,19.0,2003,3,0,28,0.3,0.0,3.33,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,3.33,0.0,0.0,0.0,3.33,0.0,3.33,33.3,6.67,20.0,20.0,10.0,3.33,0.0,0.0,0.0,0.0,3.33,6.67,0.0,0.0,16.7,0.0,3.33,10.0,3.33,3.33,16.7,3.33,6.67,50.0,3.33,3.33,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.67,33.3,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,3.33,50.0
13612,2022-07-29,2022-07-29,2022-07-25,670883,148,2000000,GB1,Dane Scarlett,148,Tottenham Hotspur,62062,2420,Dane Scarlett,ENG,MF,Tottenham,Premier League,18.0,2004,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,12.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44079,2022-07-29,2022-07-29,2022-07-25,289846,1010,1200000,GB1,Ashley Fletcher,1010,Fc Watford,21577,897,Ashley Fletcher,ENG,FW,Watford,Premier League,26.0,1995,3,0,30,0.3,0.0,6.67,3.33,50.0,0.0,0.0,19.9,0.0,0.0,0.0,10.0,30.0,33.3,246.7,93.3,0.0,20.0,0.0,6.67,6.67,100.0,3.33,3.33,100.0,0.0,0.0,6.67,0.0,0.0,3.33,30.0,30.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.7,3.33,3.33,13.3,3.33,0.0,3.33,10.0,0.0,0.0,3.33,6.67,6.67,3.33,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,6.67,6.67,0.0,0.0,3.33,3.33,100.0,0.0,30.0,3.33,11.1,16.7,10.0,3.33,3.33,3.33,0.0,0.0,0.0,6.67,0.0,0.0,50.0,3.33,10.0,20.0,23.3,3.33,50.0,0.0,3.33,0.0,0.0,0.0,23.3,96.7,50.0,3.33,0.0,0.0,0.0,0.0,96.7,26.7,27.6,3.33,0.0,0.0,0.0,3.33,0.0,0.0,0.0,6.67,0.0,0.0,0.0,13.3,6.67,20.0,25.0
11524,2022-07-29,2022-07-29,2022-07-25,511550,29,600000,GB1,Ellis Simms,29,Fc Everton,39571,2496,Ellis Simms,ENG,FW,Everton,Premier League,21.0,2001,1,1,61,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,21.4,53.3,127.1,20.0,8.57,14.3,60.0,2.86,7.14,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,21.4,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,12.9,2.86,2.86,8.57,5.71,0.0,0.0,11.4,0.0,2.86,0.0,0.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,4.29,30.0,2.86,7.14,4.29,2.86,1.43,0.0,1.43,0.0,0.0,0.0,0.0,27.1,2.86,5.71,17.1,4.29,1.43,27.1,0.0,0.0,0.0,0.0,0.0,11.4,8.57,1.43,1.43,0.0,1.43,0.0,1.43,45.7,18.6,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,4.29,5.71,42.9
39167,2022-07-15,2022-07-15,2022-07-11,160182,1531,250000,ES1,José Ángel,1531,Fc Elche,31388,98,José Ángel,ESP,DF,Osasuna,La Liga,32.0,1989,23,12,1083,12.0,0.08,0.92,0.25,27.3,0.09,0.33,27.4,0.0,0.0,0.0,49.9,65.7,76.0,1127.1,509.6,17.2,20.3,84.8,21.8,26.3,83.2,10.6,17.8,59.3,0.08,0.67,5.42,1.83,0.92,6.0,65.7,53.1,12.6,1.58,0.0,7.58,4.75,2.67,0.0,0.0,0.0,0.0,32.0,11.3,22.3,44.1,6.67,2.33,11.0,0.33,49.9,0.17,1.33,3.08,1.33,1.33,1.17,0.08,0.0,0.08,0.0,0.0,0.17,0.08,0.0,0.0,0.08,0.0,0.0,2.42,2.0,1.0,1.17,0.25,1.08,1.75,61.9,0.67,9.75,3.17,32.5,3.75,4.67,1.33,1.33,0.08,0.0,1.25,1.5,3.92,1.83,0.0,75.7,2.75,17.1,42.8,20.7,0.58,63.5,1.08,2.0,54.2,1.17,0.17,46.5,229.5,108.3,5.42,1.75,0.0,0.42,1.33,47.3,44.3,93.7,0.92,0.17,0.08,0.0,0.75,0.58,0.0,2.67,2.0,0.0,0.0,0.0,10.6,1.33,0.42,76.2
37826,2022-07-01,2022-07-01,2022-06-27,706617,44,250000,L1,Julian Eitschberger,44,Hertha Bsc,74667,806,Julian Eitschberger,GER,DF,Hertha BSC,Bundesliga,18.0,2004,1,1,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,62.0,71.0,614.0,248.0,28.0,34.0,82.4,8.0,14.0,57.1,4.0,6.0,66.7,0.0,0.0,2.0,0.0,0.0,0.0,62.0,56.0,6.0,2.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,40.0,12.0,10.0,12.0,42.0,4.0,4.0,0.0,44.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,80.0,8.0,0.0,2.0,6.0,2.0,0.0,4.0,2.0,2.0,8.0,0.0,82.0,8.0,36.0,36.0,10.0,2.0,76.0,0.0,0.0,0.0,0.0,0.0,40.0,206.0,144.0,4.0,0.0,2.0,0.0,0.0,46.0,42.0,91.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,100.0
19810,2022-07-01,2022-07-01,2022-06-27,811779,985,2000000,GB1,Alejandro Garnacho,985,Manchester United,74879,975,Alejandro Garnacho,ESP,FW,Manchester Utd,Premier League,17.0,2004,2,0,13,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,100.0,250.0,40.0,30.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,90.0,0.0,0.0,40.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,20.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,110.0,40.0,0.0,0.0,0.0,0.0,0.0,70.0,30.0,42.9,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37560,2022-07-01,2022-07-01,2022-06-27,678088,44,300000,L1,Luca Wollschläger,44,Hertha Bsc,74667,2857,Luca Wollschläger,GER,FW,Hertha BSC,Bundesliga,19.0,2003,2,0,16,0.2,0.0,5.0,0.0,0.0,0.0,0.0,19.7,0.0,0.0,0.0,25.0,30.0,83.3,310.0,35.0,15.0,15.0,100.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,10.0,20.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,33.3,0.0,15.0,0.0,10.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,65.0,0.0,5.0,25.0,40.0,25.0,65.0,5.0,5.0,100.0,5.0,0.0,45.0,350.0,280.0,10.0,5.0,10.0,10.0,0.0,85.0,50.0,58.8,15.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
30,2022-06-30,2022-06-30,2022-06-27,225452,1095,1500000,FR1,Patrick Roberts,1095,Es Troyes Ac,21877,2274,Patrick Roberts,ENG,DF,Troyes,Ligue 1,25.0,1997,1,0,14,0.2,0.0,5.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,25.0,30.0,83.3,360.0,65.0,15.0,15.0,100.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,30.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,0.0,25.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,5.0,15.0,20.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,110.0,70.0,5.0,0.0,0.0,0.0,5.0,30.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
